drug_1,drug_2,drug_1_concentration,drug_2_concentration,cell_line,response
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,SK-MEL-5,133.67
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,SK-MEL-5,24.548
Ifosfamide,Chlorambucil,1e-6,1e-5,SK-MEL-5,115.494
Amifostine,Ifosfamide,1e-6,1e-5,SK-MEL-5,92.58
Amifostine,Chlorambucil,1e-6,1e-5,SK-MEL-5,102.767
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,SK-MEL-5,126.22
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,SK-MEL-5,126.1
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,SK-MEL-5,114.616
Ifosfamide,Chlorambucil,1e-6,1e-6,SK-MEL-5,118.397
Amifostine,Ifosfamide,1e-6,1e-6,SK-MEL-5,94.22
Amifostine,Chlorambucil,1e-6,1e-6,SK-MEL-5,113.808
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,SK-MEL-5,120.62
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,SK-MEL-5,136.69
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,SK-MEL-5,129.625
Hydroxyurea,Chlorambucil,3e-5,1e-4,SK-MEL-5,36.242
Hydroxyurea,Chlorambucil,3e-5,1e-5,SK-MEL-5,96.501
Hydroxyurea,Chlorambucil,3e-5,1e-6,SK-MEL-5,111.149
Ifosfamide,Chlorambucil,1e-4,1e-4,OVCAR-5,69.422
Amifostine,Ifosfamide,1e-4,1e-4,OVCAR-5,102.71
Amifostine,Chlorambucil,1e-4,1e-4,OVCAR-5,89.934
Hydroxyurea,Chlorambucil,1e-4,1e-4,OVCAR-5,74.863
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,OVCAR-5,69.89
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,OVCAR-5,64.13
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,OVCAR-5,70.354
Ifosfamide,Chlorambucil,1e-4,1e-5,OVCAR-5,111.658
Amifostine,Ifosfamide,1e-4,1e-5,OVCAR-5,99.94
Amifostine,Chlorambucil,1e-4,1e-5,OVCAR-5,110.915
Hydroxyurea,Chlorambucil,1e-4,1e-5,OVCAR-5,96.58
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,OVCAR-5,69.38
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,OVCAR-5,63.38
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,OVCAR-5,101.43
Ifosfamide,Chlorambucil,1e-4,1e-6,OVCAR-5,105.063
Amifostine,Ifosfamide,1e-4,1e-6,OVCAR-5,87.56
Amifostine,Chlorambucil,1e-4,1e-6,OVCAR-5,103.869
Hydroxyurea,Chlorambucil,1e-4,1e-6,OVCAR-5,102.222
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,OVCAR-5,63.94
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,OVCAR-5,76.33
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,OVCAR-5,100.195
Ifosfamide,Chlorambucil,1e-5,1e-4,OVCAR-5,70.242
Amifostine,Ifosfamide,1e-5,1e-4,OVCAR-5,97.62
Amifostine,Chlorambucil,1e-5,1e-4,OVCAR-5,82.432
Hydroxyurea,Chlorambucil,1e-5,1e-4,OVCAR-5,65.804
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,OVCAR-5,89.81
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,OVCAR-5,102.1
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,OVCAR-5,72.246
Ifosfamide,Chlorambucil,1e-5,1e-5,OVCAR-5,108.154
Amifostine,Ifosfamide,1e-5,1e-5,OVCAR-5,98.24
Amifostine,Chlorambucil,1e-5,1e-5,OVCAR-5,102.41
Hydroxyurea,Chlorambucil,1e-5,1e-5,OVCAR-5,100.781
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,OVCAR-5,90.49
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,OVCAR-5,100.22
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,OVCAR-5,105.243
Ifosfamide,Chlorambucil,1e-5,1e-6,OVCAR-5,121.89
Amifostine,Ifosfamide,1e-5,1e-6,OVCAR-5,77.23
Amifostine,Chlorambucil,1e-5,1e-6,OVCAR-5,100.722
Hydroxyurea,Chlorambucil,1e-5,1e-6,OVCAR-5,107.646
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,OVCAR-5,93.63
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,OVCAR-5,98.4
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,OVCAR-5,103.307
Ifosfamide,Chlorambucil,1e-6,1e-4,OVCAR-5,76.01
Amifostine,Ifosfamide,1e-6,1e-4,OVCAR-5,107.17
Amifostine,Chlorambucil,1e-6,1e-4,OVCAR-5,83.141
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,OVCAR-5,89.9
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,OVCAR-5,106.9
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,OVCAR-5,76.132
Ifosfamide,Chlorambucil,1e-6,1e-5,OVCAR-5,101.797
Amifostine,Ifosfamide,1e-6,1e-5,OVCAR-5,93.32
Amifostine,Chlorambucil,1e-6,1e-5,OVCAR-5,95.364
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,OVCAR-5,95.55
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,OVCAR-5,101.65
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,OVCAR-5,101.319
Ifosfamide,Chlorambucil,1e-6,1e-6,OVCAR-5,110.832
Amifostine,Ifosfamide,1e-6,1e-6,OVCAR-5,77.82
Amifostine,Chlorambucil,1e-6,1e-6,OVCAR-5,101.586
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,OVCAR-5,102.85
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,OVCAR-5,105.84
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,OVCAR-5,103.791
Hydroxyurea,Chlorambucil,3e-5,1e-4,OVCAR-5,67.837
Hydroxyurea,Chlorambucil,3e-5,1e-5,OVCAR-5,100.544
Hydroxyurea,Chlorambucil,3e-5,1e-6,OVCAR-5,107.468
Ifosfamide,Chlorambucil,1e-4,1e-4,PC-3,74.99
Amifostine,Ifosfamide,1e-4,1e-4,PC-3,94.61
Amifostine,Chlorambucil,1e-4,1e-4,PC-3,78.154
Hydroxyurea,Chlorambucil,1e-4,1e-4,PC-3,62.434
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,PC-3,88.02
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,PC-3,93.14
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,PC-3,70.365
Ifosfamide,Chlorambucil,1e-4,1e-5,PC-3,100.604
Amifostine,Ifosfamide,1e-4,1e-5,PC-3,103.1
Amifostine,Chlorambucil,1e-4,1e-5,PC-3,99.703
Hydroxyurea,Chlorambucil,1e-4,1e-5,PC-3,92.212
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,PC-3,87.41
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,PC-3,97.73
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,PC-3,93.809
Ifosfamide,Chlorambucil,1e-4,1e-6,PC-3,95.926
Amifostine,Ifosfamide,1e-4,1e-6,PC-3,103.53
Amifostine,Chlorambucil,1e-4,1e-6,PC-3,102.531
Hydroxyurea,Chlorambucil,1e-4,1e-6,PC-3,95.323
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,PC-3,94.2
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,PC-3,92.25
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,PC-3,109.734
Ifosfamide,Chlorambucil,1e-5,1e-4,PC-3,74.458
Amifostine,Ifosfamide,1e-5,1e-4,PC-3,103.13
Amifostine,Chlorambucil,1e-5,1e-4,PC-3,81.967
Hydroxyurea,Chlorambucil,1e-5,1e-4,PC-3,68.416
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,PC-3,108.38
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,PC-3,112.39
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,PC-3,75.498
Ifosfamide,Chlorambucil,1e-5,1e-5,PC-3,102.205
Amifostine,Ifosfamide,1e-5,1e-5,PC-3,110.07
Amifostine,Chlorambucil,1e-5,1e-5,PC-3,97.315
Hydroxyurea,Chlorambucil,1e-5,1e-5,PC-3,102.201
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,PC-3,98.62
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,PC-3,109.89
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,PC-3,89.429
Ifosfamide,Chlorambucil,1e-5,1e-6,PC-3,110.192
Amifostine,Ifosfamide,1e-5,1e-6,PC-3,103.79
Amifostine,Chlorambucil,1e-5,1e-6,PC-3,108.817
Hydroxyurea,Chlorambucil,1e-5,1e-6,PC-3,117.167
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,PC-3,106.49
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,PC-3,99.16
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,PC-3,111.742
Ifosfamide,Chlorambucil,1e-6,1e-4,PC-3,75.127
Amifostine,Ifosfamide,1e-6,1e-4,PC-3,106.37
Amifostine,Chlorambucil,1e-6,1e-4,PC-3,80.016
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,PC-3,101.19
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,PC-3,111.91
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,PC-3,71.906
Ifosfamide,Chlorambucil,1e-6,1e-5,PC-3,102.086
Amifostine,Ifosfamide,1e-6,1e-5,PC-3,101.25
Amifostine,Chlorambucil,1e-6,1e-5,PC-3,100.06
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,PC-3,103.17
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,PC-3,105.49
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,PC-3,97.248
Ifosfamide,Chlorambucil,1e-6,1e-6,PC-3,95.763
Amifostine,Ifosfamide,1e-6,1e-6,PC-3,108.34
Amifostine,Chlorambucil,1e-6,1e-6,PC-3,107.317
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,PC-3,104.79
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,PC-3,109.18
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,PC-3,108.597
Hydroxyurea,Chlorambucil,3e-5,1e-4,PC-3,64.36
Hydroxyurea,Chlorambucil,3e-5,1e-5,PC-3,97.758
Hydroxyurea,Chlorambucil,3e-5,1e-6,PC-3,106.357
Ifosfamide,Chlorambucil,1e-4,1e-4,RXF 393,44.724
Amifostine,Ifosfamide,1e-4,1e-4,RXF 393,76
Amifostine,Chlorambucil,1e-4,1e-4,RXF 393,62.087
Hydroxyurea,Chlorambucil,1e-4,1e-4,RXF 393,48.107
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,RXF 393,20.84
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,RXF 393,43.68
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,RXF 393,35.884
Ifosfamide,Chlorambucil,1e-4,1e-5,RXF 393,78.801
Amifostine,Ifosfamide,1e-4,1e-5,RXF 393,97.11
Amifostine,Chlorambucil,1e-4,1e-5,RXF 393,78.214
Hydroxyurea,Chlorambucil,1e-4,1e-5,RXF 393,88.752
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,RXF 393,-1.58
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,RXF 393,56.7
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,RXF 393,83.065
Ifosfamide,Chlorambucil,1e-4,1e-6,RXF 393,108.55
Amifostine,Ifosfamide,1e-4,1e-6,RXF 393,100.83
Amifostine,Chlorambucil,1e-4,1e-6,RXF 393,102.682
Hydroxyurea,Chlorambucil,1e-4,1e-6,RXF 393,115.815
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,RXF 393,27.12
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,RXF 393,44.89
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,RXF 393,110.255
Ifosfamide,Chlorambucil,1e-5,1e-4,RXF 393,50.415
Amifostine,Ifosfamide,1e-5,1e-4,RXF 393,86.45
Amifostine,Chlorambucil,1e-5,1e-4,RXF 393,64.372
Hydroxyurea,Chlorambucil,1e-5,1e-4,RXF 393,55.04
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,RXF 393,108.07
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,RXF 393,86.75
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,RXF 393,49.569
Ifosfamide,Chlorambucil,1e-5,1e-5,RXF 393,85.814
Amifostine,Ifosfamide,1e-5,1e-5,RXF 393,98.32
Amifostine,Chlorambucil,1e-5,1e-5,RXF 393,81.683
Hydroxyurea,Chlorambucil,1e-5,1e-5,RXF 393,89.201
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,RXF 393,104.04
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,RXF 393,104.02
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,RXF 393,86.8
Ifosfamide,Chlorambucil,1e-5,1e-6,RXF 393,91.767
Amifostine,Ifosfamide,1e-5,1e-6,RXF 393,96.29
Amifostine,Chlorambucil,1e-5,1e-6,RXF 393,97.065
Hydroxyurea,Chlorambucil,1e-5,1e-6,RXF 393,115.074
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,RXF 393,102.43
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,RXF 393,96.82
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,RXF 393,113.67
Ifosfamide,Chlorambucil,1e-6,1e-4,RXF 393,59.944
Amifostine,Ifosfamide,1e-6,1e-4,RXF 393,87.15
Amifostine,Chlorambucil,1e-6,1e-4,RXF 393,59.876
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,RXF 393,111.72
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,RXF 393,100.96
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,RXF 393,55.974
Ifosfamide,Chlorambucil,1e-6,1e-5,RXF 393,82.049
Amifostine,Ifosfamide,1e-6,1e-5,RXF 393,97.96
Amifostine,Chlorambucil,1e-6,1e-5,RXF 393,82.658
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,RXF 393,119.77
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,RXF 393,108.01
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,RXF 393,85.53
Ifosfamide,Chlorambucil,1e-6,1e-6,RXF 393,97.753
Amifostine,Ifosfamide,1e-6,1e-6,RXF 393,85.67
Amifostine,Chlorambucil,1e-6,1e-6,RXF 393,104.421
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,RXF 393,97.35
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,RXF 393,107.1
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,RXF 393,104.114
Hydroxyurea,Chlorambucil,3e-5,1e-4,RXF 393,55.37
Hydroxyurea,Chlorambucil,3e-5,1e-5,RXF 393,77.739
Hydroxyurea,Chlorambucil,3e-5,1e-6,RXF 393,104.776
Ifosfamide,Chlorambucil,1e-4,1e-4,SK-MEL-2,73.506
Amifostine,Ifosfamide,1e-4,1e-4,SK-MEL-2,21.42
Amifostine,Chlorambucil,1e-4,1e-4,SK-MEL-2,69.055
Hydroxyurea,Chlorambucil,1e-4,1e-4,SK-MEL-2,79.391
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,SK-MEL-2,92.7
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,SK-MEL-2,64.26
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,SK-MEL-2,85.964
Ifosfamide,Chlorambucil,1e-4,1e-5,SK-MEL-2,97.532
Amifostine,Ifosfamide,1e-4,1e-5,SK-MEL-2,114.8
Amifostine,Chlorambucil,1e-4,1e-5,SK-MEL-2,99.144
Hydroxyurea,Chlorambucil,1e-4,1e-5,SK-MEL-2,100.053
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,SK-MEL-2,90.71
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,SK-MEL-2,82.12
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,SK-MEL-2,104.961
Ifosfamide,Chlorambucil,1e-4,1e-6,SK-MEL-2,108.42
Amifostine,Ifosfamide,1e-4,1e-6,SK-MEL-2,94.01
Amifostine,Chlorambucil,1e-4,1e-6,SK-MEL-2,106.373
Hydroxyurea,Chlorambucil,1e-4,1e-6,SK-MEL-2,101.141
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,SK-MEL-2,89.27
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,SK-MEL-2,98.31
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,SK-MEL-2,111.126
Ifosfamide,Chlorambucil,1e-5,1e-4,SK-MEL-2,67.425
Amifostine,Ifosfamide,1e-5,1e-4,SK-MEL-2,111.23
Amifostine,Chlorambucil,1e-5,1e-4,SK-MEL-2,80.56
Hydroxyurea,Chlorambucil,1e-5,1e-4,SK-MEL-2,86.57
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,SK-MEL-2,90.92
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,SK-MEL-2,66.39
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,SK-MEL-2,89.182
Ifosfamide,Chlorambucil,1e-5,1e-5,SK-MEL-2,106.102
Amifostine,Ifosfamide,1e-5,1e-5,SK-MEL-2,90.53
Amifostine,Chlorambucil,1e-5,1e-5,SK-MEL-2,105.209
Hydroxyurea,Chlorambucil,1e-5,1e-5,SK-MEL-2,124.669
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,SK-MEL-2,92.51
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,SK-MEL-2,70.27
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,SK-MEL-2,99.107
Ifosfamide,Chlorambucil,1e-5,1e-6,SK-MEL-2,103.719
Amifostine,Ifosfamide,1e-5,1e-6,SK-MEL-2,111.57
Amifostine,Chlorambucil,1e-5,1e-6,SK-MEL-2,96.98
Hydroxyurea,Chlorambucil,1e-5,1e-6,SK-MEL-2,113.235
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,SK-MEL-2,113.64
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,SK-MEL-2,96.59
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,SK-MEL-2,109.716
Ifosfamide,Chlorambucil,1e-6,1e-4,SK-MEL-2,73.738
Amifostine,Ifosfamide,1e-6,1e-4,SK-MEL-2,100.36
Amifostine,Chlorambucil,1e-6,1e-4,SK-MEL-2,71.94
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,SK-MEL-2,111.97
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,SK-MEL-2,93.16
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,SK-MEL-2,91.822
Ifosfamide,Chlorambucil,1e-6,1e-5,SK-MEL-2,98.256
Amifostine,Ifosfamide,1e-6,1e-5,SK-MEL-2,110.4
Amifostine,Chlorambucil,1e-6,1e-5,SK-MEL-2,110.698
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,SK-MEL-2,96.28
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,SK-MEL-2,98.86
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,SK-MEL-2,108.199
Ifosfamide,Chlorambucil,1e-6,1e-6,SK-MEL-2,103.837
Amifostine,Ifosfamide,1e-6,1e-6,SK-MEL-2,118.82
Amifostine,Chlorambucil,1e-6,1e-6,SK-MEL-2,106.718
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,SK-MEL-2,104.88
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,SK-MEL-2,131.46
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,SK-MEL-2,100.013
Hydroxyurea,Chlorambucil,3e-5,1e-4,SK-MEL-2,74.648
Hydroxyurea,Chlorambucil,3e-5,1e-5,SK-MEL-2,114.881
Hydroxyurea,Chlorambucil,3e-5,1e-6,SK-MEL-2,107.892
Ifosfamide,Chlorambucil,1e-4,1e-4,SN12C,27.876
Amifostine,Ifosfamide,1e-4,1e-4,SN12C,79.62
Amifostine,Chlorambucil,1e-4,1e-4,SN12C,22.053
Hydroxyurea,Chlorambucil,1e-4,1e-4,SN12C,30.198
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,SN12C,85.82
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,SN12C,88.2
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,SN12C,34.736
Ifosfamide,Chlorambucil,1e-4,1e-5,SN12C,106.12
Amifostine,Ifosfamide,1e-4,1e-5,SN12C,93.87
Amifostine,Chlorambucil,1e-4,1e-5,SN12C,88.05
Hydroxyurea,Chlorambucil,1e-4,1e-5,SN12C,89.576
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,SN12C,87.4
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,SN12C,93.84
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,SN12C,93.308
Ifosfamide,Chlorambucil,1e-4,1e-6,SN12C,117.729
Amifostine,Ifosfamide,1e-4,1e-6,SN12C,92.45
Amifostine,Chlorambucil,1e-4,1e-6,SN12C,107.768
Hydroxyurea,Chlorambucil,1e-4,1e-6,SN12C,110.923
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,SN12C,87.72
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,SN12C,104.04
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,SN12C,103.255
Ifosfamide,Chlorambucil,1e-5,1e-4,SN12C,30.707
Amifostine,Ifosfamide,1e-5,1e-4,SN12C,86.37
Amifostine,Chlorambucil,1e-5,1e-4,SN12C,35.168
Hydroxyurea,Chlorambucil,1e-5,1e-4,SN12C,30.913
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,SN12C,97.2
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,SN12C,113.16
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,SN12C,49.444
Ifosfamide,Chlorambucil,1e-5,1e-5,SN12C,104.936
Amifostine,Ifosfamide,1e-5,1e-5,SN12C,92.93
Amifostine,Chlorambucil,1e-5,1e-5,SN12C,88.742
Hydroxyurea,Chlorambucil,1e-5,1e-5,SN12C,92.602
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,SN12C,91.66
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,SN12C,107.01
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,SN12C,92.883
Ifosfamide,Chlorambucil,1e-5,1e-6,SN12C,108.136
Amifostine,Ifosfamide,1e-5,1e-6,SN12C,93.83
Amifostine,Chlorambucil,1e-5,1e-6,SN12C,107.52
Hydroxyurea,Chlorambucil,1e-5,1e-6,SN12C,109.542
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-6,SN12C,110.29
Estramustine phosphate sodium,Amifostine,1e-5,1e-6,SN12C,113.78
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-6,SN12C,106.517
Ifosfamide,Chlorambucil,1e-6,1e-4,SN12C,35.011
Amifostine,Ifosfamide,1e-6,1e-4,SN12C,88.54
Amifostine,Chlorambucil,1e-6,1e-4,SN12C,30.352
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-4,SN12C,96.25
Estramustine phosphate sodium,Amifostine,1e-6,1e-4,SN12C,118.08
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-4,SN12C,37.105
Ifosfamide,Chlorambucil,1e-6,1e-5,SN12C,103.614
Amifostine,Ifosfamide,1e-6,1e-5,SN12C,94.74
Amifostine,Chlorambucil,1e-6,1e-5,SN12C,95.305
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-5,SN12C,99.11
Estramustine phosphate sodium,Amifostine,1e-6,1e-5,SN12C,120.55
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-5,SN12C,103.106
Ifosfamide,Chlorambucil,1e-6,1e-6,SN12C,112.776
Amifostine,Ifosfamide,1e-6,1e-6,SN12C,93.04
Amifostine,Chlorambucil,1e-6,1e-6,SN12C,96.426
Estramustine phosphate sodium,Ifosfamide,1e-6,1e-6,SN12C,111.34
Estramustine phosphate sodium,Amifostine,1e-6,1e-6,SN12C,119.58
Estramustine phosphate sodium,Chlorambucil,1e-6,1e-6,SN12C,104.623
Hydroxyurea,Chlorambucil,3e-5,1e-4,SN12C,27.087
Hydroxyurea,Chlorambucil,3e-5,1e-5,SN12C,95.545
Hydroxyurea,Chlorambucil,3e-5,1e-6,SN12C,107.362
Ifosfamide,Chlorambucil,1e-4,1e-4,UO-31,67.693
Amifostine,Ifosfamide,1e-4,1e-4,UO-31,24.86
Amifostine,Chlorambucil,1e-4,1e-4,UO-31,71.301
Hydroxyurea,Chlorambucil,1e-4,1e-4,UO-31,70.975
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-4,UO-31,64.39
Estramustine phosphate sodium,Amifostine,1e-4,1e-4,UO-31,57.37
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-4,UO-31,65.549
Ifosfamide,Chlorambucil,1e-4,1e-5,UO-31,91.734
Amifostine,Ifosfamide,1e-4,1e-5,UO-31,100.67
Amifostine,Chlorambucil,1e-4,1e-5,UO-31,103.511
Hydroxyurea,Chlorambucil,1e-4,1e-5,UO-31,98.189
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-5,UO-31,63.66
Estramustine phosphate sodium,Amifostine,1e-4,1e-5,UO-31,68.26
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-5,UO-31,104.463
Ifosfamide,Chlorambucil,1e-4,1e-6,UO-31,97.93
Amifostine,Ifosfamide,1e-4,1e-6,UO-31,85.24
Amifostine,Chlorambucil,1e-4,1e-6,UO-31,99.709
Hydroxyurea,Chlorambucil,1e-4,1e-6,UO-31,102.026
Estramustine phosphate sodium,Ifosfamide,1e-4,1e-6,UO-31,62.38
Estramustine phosphate sodium,Amifostine,1e-4,1e-6,UO-31,79.08
Estramustine phosphate sodium,Chlorambucil,1e-4,1e-6,UO-31,105.125
Ifosfamide,Chlorambucil,1e-5,1e-4,UO-31,62.504
Amifostine,Ifosfamide,1e-5,1e-4,UO-31,91.02
Amifostine,Chlorambucil,1e-5,1e-4,UO-31,71.802
Hydroxyurea,Chlorambucil,1e-5,1e-4,UO-31,68.749
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-4,UO-31,86.98
Estramustine phosphate sodium,Amifostine,1e-5,1e-4,UO-31,108.25
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-4,UO-31,62.442
Ifosfamide,Chlorambucil,1e-5,1e-5,UO-31,88.321
Amifostine,Ifosfamide,1e-5,1e-5,UO-31,93.89
Amifostine,Chlorambucil,1e-5,1e-5,UO-31,101.061
Hydroxyurea,Chlorambucil,1e-5,1e-5,UO-31,98.099
Estramustine phosphate sodium,Ifosfamide,1e-5,1e-5,UO-31,89.39
Estramustine phosphate sodium,Amifostine,1e-5,1e-5,UO-31,108.57
Estramustine phosphate sodium,Chlorambucil,1e-5,1e-5,UO-31,99.718
